20240111	10:04:35	7b1ef828-c49a-4d22-b2db-9b41855b38a3	POST	undefined	/auth
20240111	10:04:36	c2895706-536d-4ff1-bbda-8ed578679c8e	POST	undefined	/auth
20240111	10:04:41	6f920715-8133-47d3-8992-119b8022e08c	POST	undefined	/auth
20240111	10:04:42	547a639b-5f4e-4061-adaa-8de01c15ca99	POST	undefined	/auth
20240111	10:04:55	d40ce55b-15ad-49ef-a3f3-bcab21a432d0	POST	undefined	/auth
20240111	10:04:57	f9d15e3f-66b9-4aea-af98-bbf82c0b20e5	POST	undefined	/auth
20240111	10:06:30	02f04545-5861-4b91-bc64-4883970161f8	POST	undefined	/auth
20240111	10:06:32	7d1f0022-0147-4a0d-bead-7fa5774e9a2a	POST	undefined	/auth
20240111	10:12:09	41f0b2d3-bb90-4091-b904-f03f475a9d4a	POST	undefined	/auth
20240111	10:12:10	9fa5c70d-93c6-4402-81e5-94ad6b04ff0d	POST	undefined	/auth
20240111	10:16:15	2f1f97d7-585e-4cd7-87e8-f8b283109468	POST	undefined	/auth
20240111	10:16:17	71cd5354-6c4b-4389-bd94-ac22167be892	POST	undefined	/auth
20240111	10:18:38	14c7f340-0da1-4056-aede-64924983b478	POST	undefined	/auth
20240111	10:19:31	76601f51-929c-422e-b8ff-4f1362b92153	POST	undefined	/auth
20240111	10:19:50	e0b03f32-7f16-4d22-bec4-a5ac3fdc87d0	POST	undefined	/auth
20240111	10:20:26	7fcbe481-4434-405b-a64b-251d63f85318	GET	undefined	/employees
20240111	10:25:50	5ae0effb-1c5e-44d2-af58-a52454ddae57	POST	undefined	/auth
20240111	10:26:22	335665e3-3ac6-4198-91ca-b4686e06a653	POST	undefined	/employees
20240111	10:30:11	ac6b39f6-9f4c-4837-b094-ef5b03bffd78	POST	undefined	/auth
20240111	10:30:33	940d6cfc-20aa-4f50-bbc9-803c4b7d496d	POST	undefined	/employees
20240111	10:34:03	704b6599-f653-4c64-833f-cceedb2eb393	POST	undefined	/auth
20240111	10:34:25	86cc1886-d582-4203-9ae0-65a038472ece	DELETE	undefined	/employees
20240111	10:35:12	659f5f8b-463e-42d4-acdb-217f3fa187ca	POST	undefined	/auth
20240111	10:35:29	5bc26d6e-5d33-4c9c-b986-ef0afdd7f9c7	DELETE	undefined	/employees
20240113	10:53:37	9a530a7f-ccca-4e23-87a5-4ff08fd1b283	POST	undefined	/register
20240113	10:59:09	b09a1aef-60d9-4524-8b92-1caa3abc4759	POST	undefined	/register
20240114	10:29:41	99c54c6b-c268-42f3-929c-4b7bbedadddd	POST	undefined	/register
20240114	10:29:58	3737f587-c658-4384-bfde-6caf8f84a65b	POST	undefined	/register
20240114	10:30:31	e00754ae-22af-406b-8e6c-28ac9d4b2020	POST	undefined	/auth
20240114	10:32:56	9ff802d6-9cb7-4e99-b943-4113ee2a1a06	POST	undefined	/auth
20240114	10:33:02	8b266c21-14dc-4b56-8803-ec54826d337c	GET	undefined	/refresh
20240114	10:33:52	6737fd3d-dcaa-4918-a188-894c593d1506	GET	undefined	/logOut
20240114	11:25:03	23b782e6-0384-4ec5-94fe-7e7a397f7d2c	POST	undefined	/auth
20240114	11:25:37	dbd7a1c7-d70e-47cf-8ac7-d2f04086cae1	GET	undefined	/employees
